재해위험지역,재해위험유형,재해위험등급,추진사항,위험요인,침수위험지역지수
경기도 김포시 월곶면,붕괴위험,나,추진중,붕괴위험,0.75
제주특별자치도 제주시 한림읍,침수위험,다,미착수,침수위험,0.5
제주특별자치도 제주시 조천읍,침수위험,다,정비중(응급조치완료),침수위험,0.5
"제주특별자치도 제주시 삼도2동, 건입동",해일위험,가,미착수,해일위험,1
제주특별자치도 제주시 이도2동,침수위험,가,정비중(응급조치완료),침수위험,1
제주특별자치도 제주시 애월읍,침수위험,나,정비중(응급조치완료),침수위험,0.75
제주특별자치도 제주시 애월읍,침수위험,나,정비중(응급조치완료),침수위험,0.75
제주특별자치도 제주시 조천읍,침수위험,나,정비중(응급조치완료),침수위험,0.75
제주특별자치도 제주시 애월읍,침수위험,나,미착수,침수위험,0.75
제주특별자치도 제주시 구좌읍,침수위험,나,미착수,침수위험,0.75
제주특별자치도 제주시 한림읍,침수위험,나,미착수,침수위험,0.75
경상남도 밀양시 단장면 태룡리,침수위험,나,미착수,침수위험,0.75
경상남도 밀양시 무안면 신법리,침수위험,나,정비중,침수위험,0.75
경상북도 청송군 부남면,침수위험,나,정비계획,침수위험,0.75
경상북도 청송군 현서면,침수위험,다,정비계획,침수위험,0.5
경상북도 청송군 파천면,침수위험,나,정비계획,침수위험,0.75
경상북도 청송군 현동면,침수위험,나,정비중,침수위험,0.75
경상북도 청송군 부남면,침수위험,나,정비계획,침수위험,0.75
경상북도 청송군 현동면,침수위험,가,정비중,침수위험,1
경상북도 청송군 현동면,침수위험,나,정비계획,침수위험,0.75
충청남도 태안군 소원면 신덕리,침수위험,나,정비중(응급조치완료),저지대 주택침수,0.75
경상남도 고성군 상리면,침수위험,나,정비중(응급조치완료),저지대 주택침수,0.75
경상남도 고성군 삼산면,해일위험,가,미착수,저지대 주택침수,1
충청남도 청양군 장평면,침수위험,나,정비중,범람,0.75
충청남도 청양군 대치면,침수위험,나,정비중,범람,0.75
충청남도 청양군 대치면,침수위험,나,정비중,범람,0.75
충청남도 청양군 대치면,침수위험,나,미착수,범람,0.75
전라남도 곡성군 곡성읍,침수위험,나,정비중(응급조치중),침수위험,0.75
인천광역시 동구,침수위험,나,정비중(응급조치완료),인근주변 고지대로 형성되어 우기 철 집주호우시 빠른 우수 유입하수암거 단면의 부족으로 우기철 집중호우시 유량소화 못함,0.75
경상남도 창녕군 대지면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 대지면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 대합면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 도천면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 부곡면,침수위험,나,미착수,저지대 침수 위험,0.75
경상남도 창녕군 성산면,침수위험,나,미착수,저지대 침수 위험,0.75
경상남도 창녕군 이방면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 장마면,침수위험,다,미착수,저지대 침수 위험,0.5
경상남도 창녕군 장마면,침수위험,가,정비중(응급조치완료),저지대 침수 위험,1
경상남도 창녕군 창녕읍,침수위험,나,정비중(응급조치완료),저지대 침수 위험,0.75
경상남도 창녕군 창녕읍,침수위험,나,미착수,저지대 침수 위험,0.75
경상남도 창녕군 창녕읍,침수위험,가,미착수,저지대 침수 위험,1
경상북도 영천시 신녕면,침수위험,나,정비중(응급조치중),침수위험,0.75
경상북도 영천시 북안면,침수위험,다,정비중(응급조치중),침수위험,0.5
경상북도 영천시 북안면,침수위험,나,정비중(응급조치중),침수위험,0.75
경상북도 영천시 임고면,침수위험,나,정비중(응급조치중),침수위험,0.75
경상북도 영천시 화북면,침수위험,다,정비중(응급조치중),침수위험,0.5
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
전라북도 고창군,침수위험,다,정비중(응급조치중),침수위험,0.5
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
전라북도 고창군,침수위험,나,정비중(응급조치중),침수위험,0.75
부산광역시 연제구,침수위험,나,정비중(응급조치중),저지대 주택침수,0.75
경상북도 청도군,침수위험,나,미착수,침수위험,0.75
경상북도 청도군,침수위험,가,미착수,침수위험,1
경상북도 청도군,침수위험,나,정비중(응급조치중),침수위험,0.75
경상북도 청도군,침수위험,가,정비중(응급조치중),침수위험,1
경상북도 김천시 대신동,침수위험,다,정비중,호우,0.5
경상남도 하동군 북천면,침수위험,가,정비중(응급조치완료),침수,1
경상남도 하동군 악양면,침수위험,다,정비중(응급조치중),침수,0.5
경상남도 하동군 고전면,침수위험,나,정비중(응급조치중),침수,0.75
경상남도 하동군 고전면,침수위험,나,정비중(응급조치완료),침수,0.75
경상남도 하동군 금남면,해일위험,가,정비중(응급조치중),해일,1
경상남도 하동군 금성면,해일위험,가,정비중(응급조치중),해일,1
경상남도 하동군 하동읍,침수위험,가,정비중(응급조치완료),침수,1
경상남도 하동군 옥종면,침수위험,나,정비중(응급조치중),침수,0.75
경기도 고양시 덕양구 신평동,침수위험,다,정비중(응급조치중),농경지 침수,0.5
강원도 정선군 고한읍,침수위험,가,정비중(응급조치중),침수,1
충청북도 옥천군,침수위험,다,정비중(응급조치완료),침수,0.5
충청북도 옥천군,침수위험,다,정비중(응급조치완료),침수,0.5
경상남도 함양군 안의면,침수위험,다,정비중(응급조치중),하천제방 단면부족으로 집중호우시 하천범람 우려,0.5
"전라남도 목포시 연산동, 용해동 일원",침수위험,나,정비중(응급조치완료),침수,0.75
경상북도 상주시 내서면,침수위험,나,미착수,침수위험,0.75
경상북도 상주시 공검면,침수위험,나,미착수,침수위험,0.75
경상북도 상주시 모서면,침수위험,나,미착수,침수위험,0.75
충청남도 아산시 권곡모종동,침수위험,가,정비중(응급조치완료),"저지대 주택침수, 저지대 농경지침수",1
강원도 삼척시 정상동,침수위험,나,정비중(응급조치중),상습침수,0.75
경기도 이천시 부발읍 신하리 일원,침수위험,나,정비중(응급조치완료),집중호우,0.75
